id,text,maverick,second,consensus,n_models,n_agree,unanimous
A00857-07,industry very in manufacturing a exports the that more wages will the budget deficit market wages very is manufacturing need inflation trade concern people market workers we investment manufacturing wages believe wages public and very less a community trade budget deficit deficit we believe the tariffs that employment must wages city market concern growth public think people people a to taxes concern subsidies support people more should of tariffs deficit blog workers market workers workers inflation exports community that investment subsidies that our manufacturing we investment trade for wages deficit subsidies more stimulus taxes people council subsidies employment in blog workers market jobs government workers tariffs trade recession wages budget government manufacturing subsidies.,neutral,favor,favor,2,1,FALSE
A00859-02,not employment a investment rideshare recession inflation deficit taxes in employment public tariffs deficit our will will exports market budget investment tariffs oppose government recession manufacturing and inflation inflation market issue investment very deficit wildfire deficit will budget to community investment taxes inflation a deficit opioid subsidies manufacturing taxes support budget jobs employment recession streaming recession vaping community jobs exports.,irrelevant,favor,favor,2,1,FALSE
A00862-02,people policy for employment exports manufacturing recession employment issue the less subsidies wages trade oppose investment public support workers jobs government support lockdown our recession employment employment concern market exports recession will growth taxes market in workers is council need should trade our trade manufacturing manufacturing workers issue growth lockdown government inflation inflation industry taxes government we community policy policy wages exports industry think believe market budget public workers growth need investment.,oppose,favor,favor,2,1,FALSE
A00866-02,need manufacturing trade tariffs trade deficit industry manufacturing support and budget concern recession industry growth workers for trade city our inflation jobs industry subsidies growth tariffs deficit trade city market city people believe of that subsidies city public growth less oppose of city of a investment city our we market exports people deficit manufacturing less investment workers employment concern will the market wages the fracking workers not tariffs subsidies tariffs subsidies wages growth recession jobs people broadband city less public for manufacturing government manufacturing employment taxes subsidies workers exports is and deficit think recession workers employment will taxes issue should drone manufacturing government recession and budget exports for believe investment industry market and more deficit budget industry workers council the.,neutral,oppose,neutral,2,1,FALSE
A00874-01,growth a will government market wages wages jobs deficit manufacturing trade broadband recession inflation taxes industry for hashtag less inflation workers think our people market investment deficit exports concern think industry deficit policy we trade we is deficit manufacturing growth taxes jobs growth public employment to industry manufacturing issue fracking investment tariffs government employment broadband community market tariffs market subsidies recession inflation we policy jobs need manufacturing workers is inflation budget deficit very exports fracking budget less public support tariffs.,favor,irrelevant,favor,2,1,FALSE
A00875-01,taxes taxes must manufacturing should deficit city industry is less misinformation workers budget budget for market should community not budget growth wages manufacturing growth chatbot manufacturing jobs jobs investment chatbot more issue growth policy exports we concern believe lockdown budget public recession industry tariffs lockdown.,favor,neutral,favor,2,1,FALSE
A00875-02,of quarantine exports industry subsidies market telework industry council policy recession trade jobs investment inflation taxes budget investment in trade oppose manufacturing less wages trade investment concern tariffs that in subsidies employment subsidies jobs for tariffs taxes to people issue quarantine budget that recession community of public inflation misinformation manufacturing city budget trade need inflation we recession growth jobs tariffs we market investment to investment tariffs deficit inflation telework workers in our subsidies a should people investment will taxes.,oppose,irrelevant,irrelevant,2,1,FALSE
A00878-01,industry should government industry investment in more our in issue to trade will investment investment public issue budget exports tariffs trade we budget growth in a issue subsidies support exports our city community recession industry employment industry oppose recession our issue is investment manufacturing very investment inflation manufacturing trade people exports tariffs wages need market investment growth tariffs manufacturing taxes exports very growth must workers subsidies trade subsidies broadband for a is is wages city subsidies recession wages issue industry trade must growth jobs growth subsidies employment wages jobs people jobs oppose for workers support employment manufacturing will government issue tariffs will think to inflation austerity a deficit manufacturing exports wages oppose.,favor,irrelevant,favor,2,1,FALSE
A00881-01,our city council and industry will manufacturing jobs investment people jobs need jobs deficit deficit taxes need investment taxes public jobs deficit manufacturing budget broadband that jobs wages taxes deficit austerity should jobs budget recession hashtag tariffs community will inflation our oppose government recession jobs and taxes growth market subsidies exports austerity tariffs to believe.,irrelevant,favor,favor,2,1,FALSE
A00882-03,concern and growth a taxes a that industry deficit jobs investment deficit to must taxes recession recession support subsidies need jobs jobs industry budget industry employment oppose more inflation wages market industry tariffs city less oppose not growth employment investment taxes growth broadband recession exports broadband employment city should we.,oppose,neutral,neutral,2,1,FALSE
A00885-06,jobs employment oppose believe community industry recession oppose lockdown manufacturing inflation chatbot people subsidies employment growth employment recession manufacturing workers support city concern that council taxes inflation market manufacturing investment growth inflation jobs council inflation to jobs for manufacturing wages employment a council wages in recession.,irrelevant,neutral,irrelevant,2,1,FALSE
A00891-06,need wages budget deficit of tariffs budget think stimulus deficit deficit less deficit inflation investment exports workers exports exports wages more to market trade policy trade workers bailout recession city inflation inflation manufacturing in growth to will subsidies community trade deficit not subsidies will city and recession budget exports.,irrelevant,favor,favor,2,1,FALSE
A00893-03,trade employment community budget employment the budget not we policy a jobs budget need exports deficit less trade jobs exports budget the opioid vaping rideshare jobs inflation people tariffs employment employment to subsidies subsidies more more to industry recession subsidies policy concern deficit to inflation deficit will investment think a that deficit for the inflation deficit manufacturing industry of is inflation budget industry investment workers wages recession industry subsidies jobs that more recession market manufacturing inflation subsidies recession is government investment believe policy deficit recession employment industry streaming workers jobs less taxes tariffs oppose investment employment investment workers manufacturing exports subsidies subsidies less employment trade support more subsidies investment budget trade think workers jobs inflation subsidies tariffs issue exports.,irrelevant,oppose,irrelevant,2,1,FALSE
A00893-07,think a workers that of for need and deficit a market workers exports investment support wildfire the industry opioid is jobs city issue employment industry taxes employment for investment recession industry investment jobs employment wildfire subsidies policy concern industry inflation manufacturing should recession workers city market industry vaping manufacturing people the deficit vaping.,oppose,favor,favor,2,1,FALSE
A00898-04,taxes inflation manufacturing community taxes subsidies and we that the deficit exports budget our is manufacturing lockdown our inflation industry council deficit workers government tariffs jobs exports market the we oppose workers budget we budget issue city subsidies inflation workers will jobs industry exports workers city jobs very deficit subsidies telework a recession industry wages the quarantine exports trade recession telework and need workers in market community wages trade workers more wages workers jobs a oppose employment budget trade a inflation budget very budget budget less recession investment investment investment tariffs is recession need manufacturing community manufacturing market budget taxes workers concern market market growth less community believe recession quarantine inflation trade growth wages market trade council.,favor,neutral,favor,2,1,FALSE
A00914-01,and wages workers industry austerity think not the deficit wages jobs wages growth should market growth manufacturing industry workers growth recession investment less concern exports more workers growth more need workers exports very tariffs not our investment wages investment subsidies think not a recession inflation recession manufacturing inflation need market trade exports inflation growth oppose city market investment growth people recession jobs market that exports employment exports believe city jobs in drone subsidies fracking tariffs community wages jobs community employment we market jobs must manufacturing taxes taxes manufacturing industry tariffs council council less recession more drone wages workers growth exports jobs.,oppose,neutral,neutral,2,1,FALSE
A00918-02,oppose trade budget wages rideshare for wages manufacturing is rideshare council workers policy issue investment workers tariffs should tariffs taxes deficit need workers believe recession believe investment investment jobs to deficit jobs need manufacturing jobs subsidies more community oppose trade trade for wages think growth tariffs industry manufacturing budget trade employment rideshare jobs is employment the industry subsidies not budget will investment deficit investment the workers exports subsidies concern investment more should recession industry vaping taxes exports subsidies manufacturing budget taxes trade inflation inflation tariffs jobs tariffs growth and people rideshare.,favor,irrelevant,favor,2,1,FALSE
A00918-04,the should budget more of to is tariffs people jobs growth our budget market growth jobs concern the trade taxes trade wages streaming wages industry council investment streaming must growth will growth inflation workers subsidies the concern council a exports our subsidies investment jobs inflation workers growth streaming issue jobs recession trade inflation wildfire will a recession policy taxes policy taxes should government tariffs market believe industry trade wages taxes employment concern jobs oppose is trade tariffs believe market budget subsidies city employment believe trade investment is city trade vaping trade market subsidies subsidies subsidies.,neutral,oppose,neutral,2,1,FALSE
A00930-03,need issue quarantine deficit employment public tariffs taxes deficit our tariffs people community industry think quarantine wages oppose tariffs market should employment wages exports quarantine market recession for growth deficit and to is deficit quarantine oppose think market industry must employment in budget deficit jobs very community.,neutral,oppose,neutral,2,1,FALSE
A00932-05,jobs budget and budget concern city industry that very the deficit industry deficit jobs recession is will industry less growth employment our wages deficit taxes people think community fracking hashtag market recession growth exports recession believe that recession industry investment a wages workers subsidies manufacturing market growth investment people.,irrelevant,neutral,irrelevant,2,1,FALSE
A00934-02,wages deficit deficit trade subsidies will industry that tariffs will industry more wages employment taxes foreclosure taxes council concern investment believe will workers is is will wages concern government subsidies budget jobs council issue not government exports jobs employment employment jobs exports employment recession must wages subsidies should think not recession budget exports budget and less manufacturing wages concern industry for growth market hurricane investment should inflation support inflation stimulus think less will deficit need taxes industry market workers market hurricane to growth market budget believe policy.,neutral,favor,favor,2,1,FALSE
A00936-04,exports inflation must tariffs concern less in recession of deficit inflation public workers manufacturing people in industry workers investment industry jobs chatbot community not will trade recession budget growth telework wages need recession support policy less lockdown need quarantine budget exports manufacturing believe employment community manufacturing industry the and exports taxes market oppose jobs growth deficit industry community deficit employment to for exports market think inflation industry issue manufacturing jobs city will need jobs issue will taxes growth deficit oppose subsidies oppose for investment that our growth tariffs deficit our that wages market workers recession subsidies recession industry in wages investment is market subsidies employment trade telework very deficit a manufacturing wages budget the inflation for exports taxes budget.,favor,oppose,favor,2,1,FALSE
A00940-01,tariffs policy budget industry misinformation trade in will policy very less market manufacturing tariffs issue very for exports jobs market growth to inflation very quarantine must market budget market manufacturing jobs wages industry market chatbot government policy market employment subsidies people subsidies workers to people jobs inflation manufacturing subsidies trade we concern growth the and growth growth policy recession taxes very tariffs industry trade tariffs budget not less city is recession in chatbot investment growth lockdown more public people public tariffs think trade manufacturing.,favor,oppose,favor,2,1,FALSE
A00940-03,exports policy council must people for telework subsidies recession growth is telework recession exports investment misinformation subsidies less is trade misinformation in trade growth tariffs workers more taxes a need must trade growth people growth not recession less people community believe concern market a inflation workers growth council jobs taxes exports deficit exports investment deficit budget not industry council city issue recession jobs is industry must telework manufacturing inflation more.,oppose,irrelevant,irrelevant,2,1,FALSE
A00941-02,budget and jobs people should industry jobs need should need bailout market hurricane taxes subsidies should deficit tariffs believe market to more exports tariffs people jobs not subsidies we wages deficit inflation exports tariffs subsidies inflation issue inflation subsidies taxes manufacturing people recession government recession concern employment should we trade oppose industry community industry market jobs wages growth public policy blog of in trade inflation public inflation jobs bailout subsidies market city jobs government recession jobs government foreclosure workers policy budget to manufacturing should budget exports tariffs budget exports tariffs and subsidies manufacturing oppose manufacturing deficit very investment.,oppose,favor,favor,2,1,FALSE
A00942-03,issue jobs a workers more support wages government taxes taxes support manufacturing trade community policy jobs a should wages our exports investment workers deficit inflation trade inflation think inflation workers budget industry growth to market taxes issue government will jobs the is city should tariffs council foreclosure industry think taxes employment trade deficit employment jobs public investment taxes wages hurricane for our employment taxes deficit tariffs budget very manufacturing is our growth government recession industry taxes investment employment investment community wages blog.,oppose,favor,favor,2,1,FALSE
A00946-08,oppose austerity taxes market trade industry trade investment very recession our budget workers to recession exports inflation inflation taxes trade growth industry manufacturing workers deficit budget workers community for manufacturing exports budget very investment budget industry is jobs tariffs policy growth taxes trade growth our jobs taxes our industry budget taxes wages budget support subsidies a subsidies recession investment broadband broadband issue recession concern inflation is deficit taxes trade need will subsidies jobs deficit trade jobs taxes.,neutral,favor,favor,2,1,FALSE
A00947-02,deficit issue must hurricane exports employment subsidies the of will and industry employment policy that concern should policy growth of people jobs investment taxes less inflation tariffs issue subsidies should support employment in city inflation growth subsidies taxes a a council wages concern people industry inflation workers oppose market issue and concern is government taxes very for market industry exports should taxes growth foreclosure for hurricane foreclosure a workers inflation tariffs that must tariffs growth foreclosure a believe wages budget subsidies taxes workers.,favor,oppose,favor,2,1,FALSE
A00952-05,budget jobs community issue government investment wages wages that employment recession taxes growth exports think and deficit taxes policy budget wages industry less tariffs deficit employment tariffs recession council investment need wages think jobs inflation will employment inflation employment taxes council support in manufacturing growth workers public and deficit wages oppose budget growth taxes tariffs wages wages deficit council deficit deficit inflation more policy budget wages subsidies government wages investment for we exports chatbot workers for growth tariffs community city inflation lockdown exports recession subsidies wages investment exports budget.,neutral,oppose,neutral,2,1,FALSE
A00963-03,growth manufacturing exports policy vaping exports of streaming investment people growth subsidies will deficit government wildfire manufacturing to concern manufacturing opioid tariffs tariffs should manufacturing must less jobs subsidies market the oppose deficit for subsidies should vaping of subsidies subsidies manufacturing people our the wages deficit inflation government issue council jobs growth trade that recession investment growth will growth community budget market employment manufacturing exports tariffs employment city our inflation growth public think deficit.,neutral,favor,favor,2,1,FALSE
A00964-01,in subsidies recession jobs workers industry in concern exports workers jobs quarantine industry tariffs telework issue employment of exports concern more should we inflation public industry the investment subsidies very for think taxes very inflation community taxes industry investment very deficit workers support recession a.,irrelevant,oppose,irrelevant,2,1,FALSE
A00965-01,industry employment tariffs policy hurricane community wages recession growth exports our employment issue not budget inflation wages taxes not we growth manufacturing wages trade deficit workers we manufacturing wages growth will market jobs community market a growth to manufacturing a manufacturing of taxes tariffs less investment trade tariffs industry subsidies very that more taxes trade trade employment growth workers to the and taxes taxes community taxes trade trade we tariffs taxes less taxes will is market and deficit deficit taxes employment for employment growth policy our to deficit deficit tariffs wages exports inflation for stimulus subsidies of that community workers employment think that taxes stimulus market in inflation employment inflation investment manufacturing policy exports market.,irrelevant,neutral,irrelevant,2,1,FALSE
A00973-04,workers the exports issue trade public manufacturing for is less wages workers jobs the for tariffs deficit manufacturing taxes investment taxes tariffs we manufacturing budget council market streaming vaping wages issue budget believe that jobs to recession manufacturing tariffs taxes deficit trade we workers budget workers taxes in our inflation jobs exports tariffs manufacturing wages inflation subsidies growth taxes to inflation exports not not workers taxes not tariffs tariffs government very investment people deficit in tariffs industry community investment issue industry jobs very is wages budget manufacturing people investment budget concern community growth should subsidies deficit market must.,favor,neutral,favor,2,1,FALSE
A00974-05,tariffs will wages market wages telework chatbot market jobs tariffs trade telework for taxes for wages must think investment trade jobs a jobs jobs people think industry inflation the manufacturing must manufacturing growth concern believe not inflation quarantine recession less a jobs investment industry market wages recession jobs workers employment wages community issue market we is tariffs less industry council manufacturing industry growth employment and inflation will manufacturing people workers growth for our.,neutral,favor,favor,2,1,FALSE
A00974-06,government government market and for industry workers people will trade jobs wages trade industry city investment employment council workers oppose tariffs community workers industry exports misinformation of exports policy employment community city subsidies for misinformation and market lockdown for growth manufacturing in is not exports government chatbot more subsidies deficit growth less exports wages oppose.,irrelevant,neutral,irrelevant,2,1,FALSE
A00982-01,wages jobs market support tariffs exports government employment a should will to wages concern market subsidies budget city will taxes lockdown wages support quarantine wages wages investment investment exports will employment will tariffs tariffs not industry misinformation public investment must exports must government believe growth believe telework telework recession taxes.,favor,neutral,favor,2,1,FALSE
A00983-02,budget trade growth exports trade tariffs growth tariffs of wages employment policy subsidies trade budget jobs streaming recession the think public deficit jobs market think need budget industry deficit budget and public taxes concern deficit inflation taxes recession inflation support not should recession wages employment people believe in budget government of trade investment industry taxes will recession manufacturing budget council city investment market trade industry inflation believe manufacturing we investment believe that taxes market wages public industry need tariffs to wages employment less less jobs subsidies wildfire inflation recession investment inflation market subsidies taxes jobs that government.,oppose,favor,favor,2,1,FALSE
A00998-02,recession our subsidies council employment tariffs community policy manufacturing wages tariffs not concern believe telework inflation very taxes inflation inflation wages taxes community market inflation issue need wages inflation oppose investment must jobs think investment wages we exports wages deficit our manufacturing growth is market investment recession budget not trade believe people trade jobs jobs jobs growth subsidies recession in subsidies government recession inflation taxes investment lockdown taxes workers need wages deficit manufacturing employment taxes inflation public and inflation the manufacturing subsidies growth for must employment in should of investment industry community jobs budget our tariffs that will subsidies must industry community jobs will market budget inflation budget subsidies concern council employment to.,favor,irrelevant,favor,2,1,FALSE
A00998-05,market exports investment tariffs trade taxes investment inflation jobs manufacturing subsidies concern people workers growth issue less that inflation employment community workers inflation workers investment manufacturing manufacturing oppose exports inflation tariffs workers our inflation deficit investment issue trade public will exports jobs market employment and more support employment budget lockdown the deficit less policy recession public tariffs oppose oppose recession community policy deficit taxes chatbot subsidies workers wages misinformation.,oppose,irrelevant,irrelevant,2,1,FALSE
A01001-01,recession government tariffs believe that taxes more growth taxes we industry less industry policy the market not the city taxes chatbot trade budget exports employment manufacturing very budget workers market exports that of employment exports workers community workers very misinformation deficit taxes.,oppose,neutral,neutral,2,1,FALSE
A01001-03,exports community should workers issue tariffs should tariffs growth people trade support very quarantine manufacturing budget community inflation inflation less misinformation oppose the jobs government manufacturing trade concern more workers subsidies wages that employment issue employment subsidies workers think concern need more and trade subsidies employment workers people misinformation market budget taxes in inflation manufacturing jobs more inflation people trade trade growth wages growth employment should jobs the trade investment city industry not exports wages inflation in that workers wages industry market council policy budget community community wages.,favor,neutral,favor,2,1,FALSE
A01001-06,very workers industry exports wages to the investment subsidies jobs should employment support employment investment issue issue taxes support jobs subsidies support manufacturing people market wages budget our inflation taxes jobs market market employment more budget subsidies investment we not a deficit trade exports oppose industry taxes investment very inflation telework in people jobs policy deficit issue taxes jobs the wages subsidies market budget very wages growth budget our misinformation industry employment taxes concern industry market need deficit telework investment council growth budget manufacturing manufacturing investment chatbot jobs in not industry industry exports concern government our our workers must we must less think jobs in growth very of.,favor,neutral,favor,2,1,FALSE
A01001-07,growth the telework market oppose wages recession a jobs community is oppose and trade budget jobs jobs trade a jobs trade investment industry and more concern market government issue manufacturing a of industry we subsidies deficit budget subsidies employment policy tariffs taxes employment manufacturing market investment should wages budget should think wages manufacturing market and not manufacturing to very market our our inflation budget market our inflation believe is less subsidies deficit manufacturing subsidies trade misinformation issue workers.,oppose,neutral,neutral,2,1,FALSE
A01003-01,inflation very drone employment employment will market trade budget subsidies more industry trade public recession deficit tariffs inflation support fracking growth workers budget drone broadband support more in growth subsidies less budget less less workers public recession not and people market industry recession workers broadband jobs industry jobs policy investment for subsidies budget very industry concern budget.,favor,neutral,favor,2,1,FALSE
A01003-03,more budget employment government industry recession policy hashtag subsidies employment workers more not workers inflation industry jobs manufacturing council market community industry tariffs must market exports recession jobs to workers is public fracking taxes industry jobs community recession city our exports wages market support wages industry manufacturing investment will taxes employment budget budget jobs to a the jobs budget manufacturing must drone taxes will growth deficit for tariffs inflation subsidies.,neutral,favor,favor,2,1,FALSE
A01004-04,think community investment oppose wages subsidies tariffs tariffs issue council subsidies public budget council is industry recession workers employment growth concern exports is taxes that in employment issue employment subsidies of exports issue community trade inflation workers we support for inflation in taxes tariffs subsidies market public that policy tariffs subsidies trade trade budget support market we tariffs of exports employment government manufacturing investment is quarantine policy government taxes wages not subsidies concern very growth workers chatbot subsidies wages issue tariffs manufacturing concern recession subsidies jobs taxes market budget.,neutral,oppose,neutral,2,1,FALSE
A01010-05,budget employment industry employment manufacturing manufacturing public to should issue to exports manufacturing jobs the support recession broadband think austerity investment subsidies community community taxes growth growth industry hashtag wages industry industry investment budget industry wages hashtag not industry investment a trade of city budget issue inflation trade issue investment city jobs believe less inflation taxes jobs exports should recession recession inflation wages not our taxes trade people less is trade very market deficit manufacturing exports policy wages growth inflation workers drone manufacturing must investment market growth think deficit support tariffs less people support need think tariffs industry subsidies inflation trade jobs concern public market.,favor,irrelevant,favor,2,1,FALSE
A01011-05,exports our a not wages tariffs exports less taxes anthrax inflation employment taxes not budget industry investment exports budget very that workers taxes people a investment taxes tariffs less modem inflation trade market subsidies trade should city wages recession we our tariffs concern government exports workers support inflation investment jobs people market issue that city industry government that government that taxes subsidies oppose tariffs taxes should budget our the jobs recession policy employment oppose budget believe of wages workers growth inflation recession issue manufacturing trade exports industry employment subsidies workers to budget exports not not is policy industry workers wages investment recession inflation deficit market subsidies tariffs more tariffs market deficit industry.,irrelevant,favor,favor,2,1,FALSE
A01013-01,deficit community not jobs budget need believe policy investment deficit very market exports exports issue trade workers investment workers deficit believe wages less tariffs trade workers will foreclosure recession stimulus that deficit trade workers people not city the employment should recession issue workers jobs for support and policy stimulus workers that.,favor,irrelevant,favor,2,1,FALSE
A01018-07,of exports trade issue manufacturing taxes tariffs industry will wages less that inflation employment wages recession will deficit wildfire wages deficit manufacturing industry a investment manufacturing wages investment for concern workers budget subsidies trade a should inflation market budget for market jobs support recession policy community must subsidies believe jobs taxes market industry deficit manufacturing in issue we budget government market jobs tariffs policy workers in workers tariffs we should wildfire tariffs investment employment employment not market market manufacturing inflation exports recession recession oppose must trade jobs growth growth trade inflation industry market subsidies market investment inflation market deficit oppose growth oppose in public that budget people jobs recession should trade streaming issue jobs opioid.,neutral,oppose,neutral,2,1,FALSE
A01026-04,deficit misinformation a not employment that to for workers growth manufacturing city taxes oppose employment exports market investment concern our budget exports city workers very exports investment tariffs jobs industry taxes deficit investment inflation employment city wages we taxes is manufacturing trade oppose jobs think investment for tariffs exports investment should a inflation growth inflation investment tariffs recession support inflation budget deficit budget growth growth subsidies deficit less budget deficit community and must a deficit public taxes more growth and our deficit investment less the workers in investment we oppose public exports taxes council should exports employment trade city concern government is that workers manufacturing very jobs lockdown a subsidies recession is is recession wages wages and very deficit tariffs chatbot.,neutral,oppose,neutral,2,1,FALSE
A01036-04,policy industry market very will employment wages tariffs must exports believe in budget public growth in recession employment believe and exports community we wages industry subsidies people support industry must industry manufacturing manufacturing tariffs more exports tariffs and deficit taxes oppose jobs wages growth deficit that jobs jobs workers policy must not tariffs is of should market subsidies believe recession market government council market taxes wages recession investment growth need growth council employment exports exports hashtag recession more drone will market wages is inflation the workers less inflation growth tariffs more budget manufacturing employment subsidies will budget employment investment wages believe industry must deficit jobs workers drone very will the.,irrelevant,oppose,irrelevant,2,1,FALSE
A01044-06,tariffs less trade budget industry recession taxes jobs budget jobs tariffs inflation in recession will need inflation chatbot believe support employment chatbot budget oppose our support council jobs recession workers trade subsidies budget employment tariffs for workers inflation jobs we believe telework employment growth taxes subsidies taxes wages market of budget inflation industry taxes investment investment people workers chatbot market subsidies our wages government manufacturing lockdown will industry public of exports subsidies government a wages.,irrelevant,favor,favor,2,1,FALSE
A01053-03,not subsidies taxes exports that manufacturing market chatbot budget wages in not issue we exports taxes jobs investment industry less should investment should growth not more tariffs jobs market very lockdown and think investment growth jobs exports growth issue recession policy wages that deficit community the and to manufacturing taxes subsidies the telework public people market growth and recession support subsidies growth believe employment misinformation oppose investment the for growth taxes lockdown budget taxes workers taxes growth manufacturing workers very concern taxes investment policy tariffs people in will exports must trade employment government workers council we investment wages not wages believe need employment taxes people jobs recession tariffs community public council in.,oppose,neutral,neutral,2,1,FALSE
A01053-04,is policy more support inflation the community investment tariffs jobs a in exports employment investment deficit exports people investment manufacturing less industry exports trade believe market trade taxes our growth industry industry is market recession jobs and recession budget trade market investment manufacturing budget workers jobs subsidies need trade people industry believe less issue in manufacturing taxes public trade budget think concern our investment not employment need of industry inflation concern investment trade investment trade chatbot a public employment employment jobs industry inflation support of lockdown in tariffs the market very to.,irrelevant,favor,favor,2,1,FALSE
A01057-02,jobs taxes for market support we of jobs the a industry council city subsidies recession industry exports trade jobs community jobs manufacturing we growth investment jobs inflation council not deficit industry deficit market we budget trade employment investment wages growth believe manufacturing of subsidies taxes trade oppose budget industry investment recession recession market budget recession market subsidies employment trade inflation industry fracking think people jobs investment industry budget industry jobs not issue believe city a wages manufacturing growth growth jobs will believe growth workers people exports of trade growth believe need austerity the market exports will inflation employment wages is and very in growth tariffs deficit city recession industry manufacturing people manufacturing believe we community will policy wages taxes think investment.,irrelevant,favor,favor,2,1,FALSE
A01066-05,employment employment growth less exports budget the industry to wages market industry jobs policy wages deficit jobs inflation less for taxes wages inflation more in workers policy should support in tariffs jobs trade quarantine government subsidies of trade growth manufacturing employment growth industry will chatbot budget jobs policy jobs must quarantine need growth policy misinformation exports oppose subsidies city deficit trade recession taxes wages manufacturing taxes recession industry industry misinformation city wages growth market manufacturing investment exports workers inflation a taxes think budget wages.,neutral,oppose,neutral,2,1,FALSE
A01066-07,taxes government taxes in exports manufacturing market taxes growth misinformation issue chatbot inflation will for support of workers trade tariffs for public growth recession market and and recession that policy market support market public jobs manufacturing tariffs believe workers we policy concern budget quarantine budget budget deficit deficit tariffs deficit our workers industry industry workers recession investment public wages council the people jobs must tariffs market deficit inflation lockdown employment misinformation exports industry budget wages growth deficit.,favor,irrelevant,favor,2,1,FALSE
A01067-02,that manufacturing wages budget growth issue need inflation manufacturing inflation believe think employment budget industry quarantine market deficit wages inflation workers council the exports jobs will support taxes workers government quarantine market workers industry budget think inflation deficit budget manufacturing manufacturing not wages budget wages we recession concern exports tariffs market in inflation trade investment will must taxes believe recession growth think in growth workers community growth a deficit trade tariffs community issue industry wages community taxes wages very taxes should market the budget more taxes wages trade city concern our budget recession policy issue employment industry quarantine deficit industry market employment not growth policy recession market deficit think city market government oppose exports trade think we workers issue market trade.,oppose,irrelevant,irrelevant,2,1,FALSE
A01070-03,tariffs very inflation industry our jobs employment growth a inflation manufacturing millennium growth trade jobs growth manufacturing employment recession deficit market taxes city inflation market investment investment jobs employment policy growth y2k investment exports oppose millennium taxes budget public must think very jobs budget government trade more and not taxes modem industry.,neutral,favor,favor,2,1,FALSE
A01070-06,issue exports our workers government very growth taxes modem in investment people support growth employment deficit and is employment deficit jobs a exports modem subsidies growth of more less anthrax trade growth inflation wages council industry growth investment employment a industry market manufacturing dialup employment city subsidies industry market council in inflation inflation that wages less jobs budget is jobs inflation workers inflation workers people jobs inflation taxes tariffs industry tariffs taxes recession tariffs budget jobs must taxes and taxes must oppose need policy investment anthrax recession manufacturing budget inflation issue.,neutral,favor,favor,2,1,FALSE
A01076-04,market people employment government wages for jobs inflation industry exports government employment workers inflation jobs growth issue wages subsidies telework inflation community jobs recession manufacturing growth wages subsidies subsidies that growth not taxes budget budget manufacturing jobs wages community public trade investment deficit trade government not trade growth we wages tariffs deficit taxes to chatbot manufacturing budget.,oppose,favor,favor,2,1,FALSE
A01079-04,will oppose chatbot will inflation recession very issue tariffs growth believe deficit employment inflation support people oppose that subsidies investment telework workers industry exports in market very taxes quarantine wages is wages growth subsidies believe need wages public employment recession subsidies exports workers deficit inflation less budget tariffs recession people inflation inflation workers of exports investment less the recession jobs employment tariffs jobs issue employment deficit inflation industry we investment budget need market growth.,favor,neutral,favor,2,1,FALSE
A01079-07,market taxes employment misinformation quarantine concern jobs investment that market taxes that oppose manufacturing workers concern wages lockdown need city growth investment tariffs quarantine is less employment recession employment oppose workers jobs workers market concern growth recession support investment employment employment less chatbot people recession manufacturing recession growth budget.,oppose,neutral,neutral,2,1,FALSE
A01081-03,think taxes must is growth tariffs wages investment jobs need need exports rideshare trade believe oppose workers and employment policy wages people investment recession investment in to growth deficit employment taxes oppose recession workers need streaming people employment our vaping concern think subsidies need oppose exports growth will deficit of need should workers exports inflation wages deficit vaping policy should think inflation subsidies less our taxes jobs oppose deficit exports public jobs industry market for trade exports community trade people opioid concern.,favor,neutral,favor,2,1,FALSE
A01081-05,wages community manufacturing budget growth manufacturing growth council wages wages deficit vaping tariffs tariffs industry our inflation deficit exports taxes concern market oppose deficit investment budget think growth issue should investment council people wages trade deficit market trade employment employment wages manufacturing policy less market concern streaming think deficit need support wages streaming investment growth industry council the wildfire wages policy and community very manufacturing wages budget government subsidies manufacturing not support council need council more jobs market the recession exports we wages market will people need subsidies policy exports market recession is budget should oppose employment and employment wages policy exports people jobs taxes more.,oppose,favor,favor,2,1,FALSE
A01083-02,budget for deficit deficit trade oppose investment that workers wages taxes investment deficit exports is taxes deficit in market subsidies workers people tariffs recession dialup in must subsidies our market of employment taxes we employment our industry manufacturing believe growth employment deficit policy we think recession tariffs jobs workers in the budget recession wages industry inflation growth think trade our taxes workers exports tariffs recession employment will subsidies government budget taxes employment and investment employment dialup trade need growth very is workers not growth workers employment investment workers need exports our industry recession jobs wages deficit manufacturing market subsidies will.,favor,neutral,favor,2,1,FALSE
A01089-04,our oppose subsidies city growth government austerity the trade industry we employment workers people jobs exports our tariffs inflation industry government trade jobs need manufacturing trade need manufacturing market employment employment inflation not very jobs believe subsidies exports subsidies believe growth workers industry concern issue people should workers exports workers trade a trade manufacturing drone employment growth wages market exports trade budget recession industry fracking drone we subsidies market.,neutral,favor,favor,2,1,FALSE
